v,vw,o,c,h,l,t,n
46775.681638,715.875,715.67,716.16,716.16,715.6667,1789144380000,603
14920.931695,716.1455,716.15,715.96,716.22,715.96,1789144440000,526
20533.552611,715.8139,715.91,715.689,715.9199,715.6701,1789144500000,498
23864.302673,715.6546,715.68,715.505,715.71,715.485,1789144560000,551
14969.665497,715.5784,715.51,715.6,715.61,715.5,1789144620000,384
21174.668927,715.5034,715.59,715.48,715.65,715.2851,1789144680000,536
15984.381873,715.3395,715.4,715.185,715.5,715.17,1789144740000,528
24498.253994,715.2889,715.185,715.57,715.57,715.04,1789144800000,703
21945.053109,715.5365,715.55,715.555,715.595,715.445,1789144860000,502
21996.90229,715.6144,715.585,715.6288,715.65,715.45,1789144920000,487
21317.426804,715.7407,715.59,715.84,715.845,715.4901,1789144980000,544
13110.903653,715.9548,715.82,716.0,716.04,715.8134,1789145040000,525
13121.566826,715.9568,715.99,715.97,715.9999,715.87,1789145100000,519
10256.537576,716.0032,715.95,715.89,716.0678,715.89,1789145160000,442
8189.11111,715.9004,715.89,715.91,715.95,715.83,1789145220000,412
20238.422807,715.8344,715.905,715.68,715.95,715.63,1789145280000,572
9465.403458,715.6665,715.65,715.605,715.68,715.57,1789145340000,462
11271.258109,715.7674,715.555,715.7891,715.91,715.555,1789145400000,482
9587.976742,715.8026,715.78,715.74,715.79,715.66,1789145460000,451
18252.3754,715.9009,715.755,715.79,715.85,715.695,1789145520000,403
12827.079056,715.8429,715.8,715.86,715.92,715.77,1789145580000,480
14232.904504,715.937,715.87,715.92,715.93,715.85,1789145640000,385
27083.893831,716.0498,715.91,715.9375,716.11,715.91,1789145700000,686
22469.887978,716.0205,715.95,715.925,716.09,715.915,1789145760000,578
10167.905408,715.9788,715.93,715.912,716.01,715.85,1789145820000,470
112635.417857,709.1858,715.93,716.09,716.13,715.915,1789145880000,454
12905.78001,716.1471,716.1,716.085,716.13,716.05,1789145940000,496
31017.609761,716.254,716.12,716.13,716.35,716.11,1789146000000,638
33322.295618,716.1628,716.17,716.11,716.26,716.09,1789146060000,566
32163.307566,716.159,716.17,716.25,716.28,716.08,1789146120000,566
31791.301051,716.2888,716.23,716.34,716.37,716.16,1789146180000,455
22087.364785,716.295,716.365,716.2,716.41,716.18,1789146240000,526
